[5], Coverage : 1.0
[224, 4002], Coverage : 1.0
[224, 4577], Coverage : 1.0
[224, 4949], Coverage : 1.0
[224, 6688], Coverage : 1.0
[224, 9544], Coverage : 1.0
[224, 1191], Coverage : 0.9534883720930233
[224, 3442], Coverage : 0.9534883720930233
[224, 3660], Coverage : 0.9767441860465116
[224, 1639], Coverage : 0.9534883720930233
[224, 3748], Coverage : 0.9534883720930233
[368, 2090], Coverage : 1.0
[368, 3262], Coverage : 1.0
[368, 3404], Coverage : 1.0
[368, 3408], Coverage : 1.0
[368, 3529], Coverage : 1.0
[368, 4002], Coverage : 1.0
[368, 4577], Coverage : 1.0
[368, 4949], Coverage : 1.0
[368, 6688], Coverage : 1.0
[368, 9544], Coverage : 1.0
[368, 1191], Coverage : 0.9534883720930233
[368, 3442], Coverage : 0.9534883720930233
[368, 3660], Coverage : 0.9767441860465116
[368, 1639], Coverage : 0.9534883720930233
[368, 3748], Coverage : 0.9534883720930233
[476, 2090], Coverage : 1.0
[476, 3262], Coverage : 1.0
[476, 3404], Coverage : 1.0
[476, 3408], Coverage : 1.0
[476, 3529], Coverage : 1.0
[476, 4002], Coverage : 1.0
[476, 4577], Coverage : 1.0
[476, 4949], Coverage : 1.0
[476, 6688], Coverage : 1.0
[476, 9544], Coverage : 1.0
[476, 1191], Coverage : 0.9534883720930233
[476, 3442], Coverage : 0.9534883720930233
[476, 3660], Coverage : 0.9767441860465116
[476, 1639], Coverage : 0.9534883720930233
[476, 3748], Coverage : 0.9534883720930233
[632, 2090], Coverage : 1.0
[632, 3262], Coverage : 1.0
[632, 3404], Coverage : 1.0
[632, 3408], Coverage : 1.0
[632, 3529], Coverage : 1.0
[632, 4002], Coverage : 1.0
[632, 4577], Coverage : 1.0
[632, 4949], Coverage : 1.0
[632, 6688], Coverage : 1.0
[632, 9544], Coverage : 1.0
[632, 1191], Coverage : 0.9534883720930233
[632, 3442], Coverage : 0.9534883720930233
[632, 3660], Coverage : 0.9767441860465116
[632, 1639], Coverage : 0.9534883720930233
[632, 3748], Coverage : 0.9534883720930233
[1335, 2090], Coverage : 1.0
[1335, 3262], Coverage : 1.0
[1335, 3404], Coverage : 1.0
[1335, 3408], Coverage : 1.0
[1335, 3529], Coverage : 1.0
[1335, 4002], Coverage : 1.0
[1335, 4577], Coverage : 1.0
[1335, 4949], Coverage : 1.0
[1335, 6688], Coverage : 1.0
[1335, 9544], Coverage : 1.0
[1335, 1191], Coverage : 0.9534883720930233
[1335, 3442], Coverage : 0.9534883720930233
[1335, 3660], Coverage : 0.9767441860465116
[1335, 1639], Coverage : 0.9534883720930233
[1335, 3748], Coverage : 0.9534883720930233
[1660, 2090], Coverage : 1.0
[1660, 3262], Coverage : 1.0
[1660, 3404], Coverage : 1.0
[1660, 3408], Coverage : 1.0
[1660, 3529], Coverage : 1.0
[1660, 4002], Coverage : 1.0
[1660, 4577], Coverage : 1.0
[1660, 4949], Coverage : 1.0
[1660, 6688], Coverage : 1.0
[1660, 9544], Coverage : 1.0
[1660, 1191], Coverage : 0.9534883720930233
[1660, 3442], Coverage : 0.9534883720930233
[1660, 3660], Coverage : 0.9767441860465116
[1660, 1639], Coverage : 0.9534883720930233
[1660, 3748], Coverage : 0.9534883720930233
[2047, 2090], Coverage : 1.0
[2047, 3262], Coverage : 1.0
[2047, 3404], Coverage : 1.0
[2047, 3408], Coverage : 1.0
[2047, 3529], Coverage : 1.0
[2047, 4002], Coverage : 1.0
[2047, 4577], Coverage : 1.0
[2047, 4949], Coverage : 1.0
[2047, 6688], Coverage : 1.0
[2047, 9544], Coverage : 1.0
[2047, 1191], Coverage : 0.9534883720930233
[2047, 3442], Coverage : 0.9534883720930233
[2047, 3660], Coverage : 0.9767441860465116
[2047, 1639], Coverage : 0.9534883720930233
[2047, 3748], Coverage : 0.9534883720930233
[2645, 2090], Coverage : 1.0
[2645, 3262], Coverage : 1.0
[2645, 3404], Coverage : 1.0
[2645, 3408], Coverage : 1.0
[2645, 3529], Coverage : 1.0
[2645, 4002], Coverage : 1.0
[2645, 4577], Coverage : 1.0
[2645, 4949], Coverage : 1.0
[2645, 6688], Coverage : 1.0
[2645, 9544], Coverage : 1.0
[2645, 1191], Coverage : 0.9534883720930233
[2645, 3442], Coverage : 0.9534883720930233
[2645, 3660], Coverage : 0.9767441860465116
[2645, 1639], Coverage : 0.9534883720930233
[2645, 3748], Coverage : 0.9534883720930233
[2724, 2090], Coverage : 1.0
[2724, 3262], Coverage : 1.0
[2724, 3404], Coverage : 1.0
[2724, 3408], Coverage : 1.0
[2724, 3529], Coverage : 1.0
[2724, 4002], Coverage : 1.0
[2724, 4577], Coverage : 1.0
[2724, 4949], Coverage : 1.0
[2724, 6688], Coverage : 1.0
[2724, 9544], Coverage : 1.0
[2724, 1191], Coverage : 0.9534883720930233
[2724, 3442], Coverage : 0.9534883720930233
[2724, 3660], Coverage : 0.9767441860465116
[2724, 1639], Coverage : 0.9534883720930233
[2724, 3748], Coverage : 0.9534883720930233
[3782, 2090], Coverage : 1.0
[3782, 3262], Coverage : 1.0
[3782, 3404], Coverage : 1.0
[3782, 3408], Coverage : 1.0
[3782, 3529], Coverage : 1.0
[3782, 4002], Coverage : 1.0
[3782, 4577], Coverage : 1.0
[3782, 4949], Coverage : 1.0
[3782, 6688], Coverage : 1.0
[3782, 9544], Coverage : 1.0
[3782, 1191], Coverage : 0.9534883720930233
[3782, 3442], Coverage : 0.9534883720930233
[3782, 3660], Coverage : 0.9767441860465116
[3782, 1639], Coverage : 0.9534883720930233
[3782, 3748], Coverage : 0.9534883720930233
[5323, 2090], Coverage : 1.0
[5323, 3262], Coverage : 1.0
[5323, 3404], Coverage : 1.0
[5323, 3408], Coverage : 1.0
[5323, 3529], Coverage : 1.0
[5323, 4002], Coverage : 1.0
[5323, 4577], Coverage : 1.0
[5323, 4949], Coverage : 1.0
[5323, 6688], Coverage : 1.0
[5323, 9544], Coverage : 1.0
[5323, 1191], Coverage : 0.9534883720930233
[5323, 3442], Coverage : 0.9534883720930233
[5323, 3660], Coverage : 0.9767441860465116
[5323, 1639], Coverage : 0.9534883720930233
[5323, 3748], Coverage : 0.9534883720930233
[5324, 2090], Coverage : 1.0
[5324, 3262], Coverage : 1.0
[5324, 3404], Coverage : 1.0
[5324, 3408], Coverage : 1.0
[5324, 3529], Coverage : 1.0
[5324, 4002], Coverage : 1.0
[5324, 4577], Coverage : 1.0
[5324, 4949], Coverage : 1.0
[5324, 6688], Coverage : 1.0
[5324, 9544], Coverage : 1.0
[5324, 1191], Coverage : 0.9534883720930233
[5324, 3442], Coverage : 0.9534883720930233
[5324, 3660], Coverage : 0.9767441860465116
[5324, 1639], Coverage : 0.9534883720930233
[5324, 3748], Coverage : 0.9534883720930233
[5325, 2090], Coverage : 1.0
[5325, 3262], Coverage : 1.0
[5325, 3404], Coverage : 1.0
[5325, 3408], Coverage : 1.0
[5325, 3529], Coverage : 1.0
[5325, 4002], Coverage : 1.0
[5325, 4577], Coverage : 1.0
[5325, 4949], Coverage : 1.0
[5325, 6688], Coverage : 1.0
[5325, 9544], Coverage : 1.0
[5325, 1191], Coverage : 0.9534883720930233
[5325, 3442], Coverage : 0.9534883720930233
[5325, 3660], Coverage : 0.9767441860465116
[5325, 1639], Coverage : 0.9534883720930233
[5325, 3748], Coverage : 0.9534883720930233
[6637, 2090], Coverage : 1.0
[6637, 3262], Coverage : 1.0
[6637, 3404], Coverage : 1.0
[6637, 3408], Coverage : 1.0
[6637, 3529], Coverage : 1.0
[6637, 4002], Coverage : 1.0
[6637, 4577], Coverage : 1.0
[6637, 4949], Coverage : 1.0
[6637, 6688], Coverage : 1.0
[6637, 9544], Coverage : 1.0
[6637, 1191], Coverage : 0.9534883720930233
[6637, 3442], Coverage : 0.9534883720930233
[6637, 3660], Coverage : 0.9767441860465116
[6637, 1639], Coverage : 0.9534883720930233
[6637, 3748], Coverage : 0.9534883720930233
[6681, 2090], Coverage : 1.0
[6681, 3262], Coverage : 1.0
[6681, 3404], Coverage : 1.0
[6681, 3408], Coverage : 1.0
[6681, 3529], Coverage : 1.0
[6681, 4002], Coverage : 1.0
[6681, 4577], Coverage : 1.0
[6681, 4949], Coverage : 1.0
[6681, 6688], Coverage : 1.0
[6681, 9544], Coverage : 1.0
[6681, 1191], Coverage : 0.9534883720930233
[6681, 3442], Coverage : 0.9534883720930233
[6681, 3660], Coverage : 0.9767441860465116
[6681, 1639], Coverage : 0.9534883720930233
[6681, 3748], Coverage : 0.9534883720930233
[6738, 2090], Coverage : 1.0
[6738, 3262], Coverage : 1.0
[6738, 3404], Coverage : 1.0
[6738, 3408], Coverage : 1.0
[6738, 3529], Coverage : 1.0
[6738, 4002], Coverage : 1.0
[6738, 4577], Coverage : 1.0
[6738, 4949], Coverage : 1.0
[6738, 6688], Coverage : 1.0
[6738, 9544], Coverage : 1.0
[6738, 1191], Coverage : 0.9534883720930233
[6738, 3442], Coverage : 0.9534883720930233
[6738, 3660], Coverage : 0.9767441860465116
[6738, 1639], Coverage : 0.9534883720930233
[6738, 3748], Coverage : 0.9534883720930233
[6806, 2090], Coverage : 1.0
[6806, 3262], Coverage : 1.0
[6806, 3404], Coverage : 1.0
[6806, 3408], Coverage : 1.0
[6806, 3529], Coverage : 1.0
[6806, 4002], Coverage : 1.0
[6806, 4577], Coverage : 1.0
[6806, 4949], Coverage : 1.0
[6806, 6688], Coverage : 1.0
[6806, 9544], Coverage : 1.0
[6806, 1191], Coverage : 0.9534883720930233
[6806, 3442], Coverage : 0.9534883720930233
[6806, 3660], Coverage : 0.9767441860465116
[6806, 1639], Coverage : 0.9534883720930233
[6806, 3748], Coverage : 0.9534883720930233
[7203, 2090], Coverage : 1.0
[7203, 3262], Coverage : 1.0
[7203, 3404], Coverage : 1.0
[7203, 3408], Coverage : 1.0
[7203, 3529], Coverage : 1.0
[7203, 4002], Coverage : 1.0
[7203, 4577], Coverage : 1.0
[7203, 4949], Coverage : 1.0
[7203, 6688], Coverage : 1.0
[7203, 9544], Coverage : 1.0
[7203, 1191], Coverage : 0.9534883720930233
[7203, 3442], Coverage : 0.9534883720930233
[7203, 3660], Coverage : 0.9767441860465116
[7203, 1639], Coverage : 0.9534883720930233
[7203, 3748], Coverage : 0.9534883720930233
[7813, 2090], Coverage : 1.0
[7813, 3262], Coverage : 1.0
[7813, 3404], Coverage : 1.0
[7813, 3408], Coverage : 1.0
[7813, 3529], Coverage : 1.0
[7813, 4002], Coverage : 1.0
[7813, 4577], Coverage : 1.0
[7813, 4949], Coverage : 1.0
[7813, 6688], Coverage : 1.0
[7813, 9544], Coverage : 1.0
[7813, 1191], Coverage : 0.9534883720930233
[7813, 3442], Coverage : 0.9534883720930233
[7813, 3660], Coverage : 0.9767441860465116
[7813, 1639], Coverage : 0.9534883720930233
[7813, 3748], Coverage : 0.9534883720930233
[8213, 2090], Coverage : 1.0
[8213, 3262], Coverage : 1.0
[8213, 3404], Coverage : 1.0
[8213, 3408], Coverage : 1.0
[8213, 3529], Coverage : 1.0
[8213, 4002], Coverage : 1.0
[8213, 4577], Coverage : 1.0
[8213, 4949], Coverage : 1.0
[8213, 6688], Coverage : 1.0
[8213, 9544], Coverage : 1.0
[8213, 1191], Coverage : 0.9534883720930233
[8213, 3442], Coverage : 0.9534883720930233
[8213, 3660], Coverage : 0.9767441860465116
[8213, 1639], Coverage : 0.9534883720930233
[8213, 3748], Coverage : 0.9534883720930233
[8362, 2090], Coverage : 1.0
[8362, 3262], Coverage : 1.0
[8362, 3404], Coverage : 1.0
[8362, 3408], Coverage : 1.0
[8362, 3529], Coverage : 1.0
[8362, 4002], Coverage : 1.0
[8362, 4577], Coverage : 1.0
[8362, 4949], Coverage : 1.0
[8362, 6688], Coverage : 1.0
[8362, 9544], Coverage : 1.0
[8362, 1191], Coverage : 0.9534883720930233
[8362, 3442], Coverage : 0.9534883720930233
[8362, 3660], Coverage : 0.9767441860465116
[8362, 1639], Coverage : 0.9534883720930233
[8362, 3748], Coverage : 0.9534883720930233
[103, 3660], Coverage : 0.9302325581395349
[267, 1191], Coverage : 0.9302325581395349
[267, 3442], Coverage : 0.9302325581395349
[267, 3660], Coverage : 0.9534883720930233
[267, 1639], Coverage : 0.9302325581395349
[267, 3748], Coverage : 0.9302325581395349
[2631, 3660], Coverage : 0.9302325581395349
[4784, 3660], Coverage : 0.9302325581395349
[4785, 3660], Coverage : 0.9302325581395349
[6361, 1191], Coverage : 0.9302325581395349
[6361, 3442], Coverage : 0.9302325581395349
[6361, 3660], Coverage : 0.9534883720930233
[6361, 1639], Coverage : 0.9302325581395349
[6361, 3748], Coverage : 0.9302325581395349
[1436, 1191], Coverage : 0.9069767441860465
[1436, 3442], Coverage : 0.9069767441860465
[1436, 3660], Coverage : 0.9302325581395349
[1436, 1639], Coverage : 0.9069767441860465
[1436, 3748], Coverage : 0.9069767441860465
[1740, 2090], Coverage : 0.9534883720930233
[1740, 3262], Coverage : 0.9534883720930233
[1740, 3404], Coverage : 0.9534883720930233
[1740, 3408], Coverage : 0.9534883720930233
[1740, 3529], Coverage : 0.9534883720930233
[1740, 4002], Coverage : 0.9534883720930233
[1740, 4577], Coverage : 0.9534883720930233
[1740, 4949], Coverage : 0.9534883720930233
[1740, 6688], Coverage : 0.9534883720930233
[1740, 9544], Coverage : 0.9534883720930233
[1740, 1191], Coverage : 0.9069767441860465
[1740, 3442], Coverage : 0.9069767441860465
[1740, 3660], Coverage : 0.9302325581395349
[1740, 1639], Coverage : 0.9069767441860465
[1740, 3748], Coverage : 0.9069767441860465
[7488, 3660], Coverage : 0.9069767441860465
[8494, 2090], Coverage : 0.9534883720930233
[8494, 3262], Coverage : 0.9534883720930233
[8494, 3404], Coverage : 0.9534883720930233
[8494, 3408], Coverage : 0.9534883720930233
[8494, 3529], Coverage : 0.9534883720930233
[8494, 4002], Coverage : 0.9534883720930233
[8494, 4577], Coverage : 0.9534883720930233
[8494, 4949], Coverage : 0.9534883720930233
[8494, 6688], Coverage : 0.9534883720930233
[8494, 9544], Coverage : 0.9534883720930233
[8494, 1191], Coverage : 0.9069767441860465
[8494, 3442], Coverage : 0.9069767441860465
[8494, 3660], Coverage : 0.9302325581395349
[8494, 1639], Coverage : 0.9069767441860465
[8494, 3748], Coverage : 0.9069767441860465
[220, 3393], Coverage : 0.9069767441860465
[220, 1817], Coverage : 0.8837209302325582
[220, 1818], Coverage : 0.8837209302325582
[288, 3393], Coverage : 0.9069767441860465
[288, 1817], Coverage : 0.8837209302325582
[288, 1818], Coverage : 0.8837209302325582
[291, 3393], Coverage : 0.9069767441860465
[291, 1817], Coverage : 0.8837209302325582
[291, 1818], Coverage : 0.8837209302325582
[387, 3393], Coverage : 0.9069767441860465
[387, 1817], Coverage : 0.8837209302325582
[387, 1818], Coverage : 0.8837209302325582
[388, 3393], Coverage : 0.9069767441860465
[388, 1817], Coverage : 0.8837209302325582
[388, 1818], Coverage : 0.8837209302325582
[389, 3393], Coverage : 0.9069767441860465
[389, 1817], Coverage : 0.8837209302325582
[389, 1818], Coverage : 0.8837209302325582
[391, 3393], Coverage : 0.9069767441860465
[391, 1817], Coverage : 0.8837209302325582
[391, 1818], Coverage : 0.8837209302325582
[392, 3393], Coverage : 0.9069767441860465
[392, 1817], Coverage : 0.8837209302325582
[392, 1818], Coverage : 0.8837209302325582
[443, 3393], Coverage : 0.9069767441860465
[443, 1817], Coverage : 0.8837209302325582
[443, 1818], Coverage : 0.8837209302325582
[457, 3393], Coverage : 0.9069767441860465
[457, 1817], Coverage : 0.8837209302325582
[457, 1818], Coverage : 0.8837209302325582
[515, 1191], Coverage : 0.8837209302325582
[515, 3442], Coverage : 0.8837209302325582
[515, 3660], Coverage : 0.9069767441860465
[515, 1639], Coverage : 0.8837209302325582
[515, 3748], Coverage : 0.8837209302325582
[862, 3393], Coverage : 0.9069767441860465
[862, 1817], Coverage : 0.8837209302325582
[862, 1818], Coverage : 0.8837209302325582
[891, 3393], Coverage : 0.9069767441860465
[891, 1817], Coverage : 0.8837209302325582
[891, 1818], Coverage : 0.8837209302325582
[954, 491], Coverage : 0.9069767441860465
[954, 1694], Coverage : 0.9069767441860465
[954, 2486], Coverage : 0.9069767441860465
[954, 3268], Coverage : 0.9069767441860465
[954, 4977], Coverage : 0.9069767441860465
[954, 7729], Coverage : 0.9069767441860465
[954, 3015], Coverage : 0.8837209302325582
[954, 5914], Coverage : 0.8837209302325582
[986, 3393], Coverage : 0.9069767441860465
[986, 1817], Coverage : 0.8837209302325582
[986, 1818], Coverage : 0.8837209302325582
[987, 3393], Coverage : 0.9069767441860465
[987, 1817], Coverage : 0.8837209302325582
[987, 1818], Coverage : 0.8837209302325582
[988, 3393], Coverage : 0.9069767441860465
[988, 1817], Coverage : 0.8837209302325582
[988, 1818], Coverage : 0.8837209302325582
[1086, 3393], Coverage : 0.9069767441860465
[1086, 1817], Coverage : 0.8837209302325582
[1086, 1818], Coverage : 0.8837209302325582
[1087, 3393], Coverage : 0.9069767441860465
[1087, 1817], Coverage : 0.8837209302325582
[1087, 1818], Coverage : 0.8837209302325582
[1088, 3393], Coverage : 0.9069767441860465
[1088, 1817], Coverage : 0.8837209302325582
[1088, 1818], Coverage : 0.8837209302325582
[1089, 3393], Coverage : 0.9069767441860465
[1089, 1817], Coverage : 0.8837209302325582
[1089, 1818], Coverage : 0.8837209302325582
[1236, 3393], Coverage : 0.9069767441860465
[1236, 1817], Coverage : 0.8837209302325582
[1236, 1818], Coverage : 0.8837209302325582
[1484, 491], Coverage : 0.9069767441860465
[1484, 1694], Coverage : 0.9069767441860465
[1484, 2486], Coverage : 0.9069767441860465
[1484, 3268], Coverage : 0.9069767441860465
[1484, 4977], Coverage : 0.9069767441860465
[1484, 7729], Coverage : 0.9069767441860465
[1484, 3015], Coverage : 0.8837209302325582
[1484, 5914], Coverage : 0.8837209302325582
[2589, 3393], Coverage : 0.9069767441860465
[2589, 1817], Coverage : 0.8837209302325582
[2589, 1818], Coverage : 0.8837209302325582
[2797, 1191], Coverage : 0.8837209302325582
[2797, 3442], Coverage : 0.8837209302325582
[2797, 3660], Coverage : 0.9069767441860465
[2797, 1639], Coverage : 0.8837209302325582
[2797, 3748], Coverage : 0.8837209302325582
[3517, 1191], Coverage : 0.8837209302325582
[3517, 3442], Coverage : 0.8837209302325582
[3517, 3660], Coverage : 0.9069767441860465
[3517, 1639], Coverage : 0.8837209302325582
[3517, 3748], Coverage : 0.8837209302325582
[3542, 3393], Coverage : 0.9069767441860465
[3542, 1817], Coverage : 0.8837209302325582
[3542, 1818], Coverage : 0.8837209302325582
[3543, 3393], Coverage : 0.9069767441860465
[3543, 1817], Coverage : 0.8837209302325582
[3543, 1818], Coverage : 0.8837209302325582
[3544, 3393], Coverage : 0.9069767441860465
[3544, 1817], Coverage : 0.8837209302325582
[3544, 1818], Coverage : 0.8837209302325582
[3560, 3393], Coverage : 0.9069767441860465
[3560, 1817], Coverage : 0.8837209302325582
[3560, 1818], Coverage : 0.8837209302325582
[3564, 3393], Coverage : 0.9069767441860465
[3564, 1817], Coverage : 0.8837209302325582
[3564, 1818], Coverage : 0.8837209302325582
[3893, 3393], Coverage : 0.9069767441860465
[3893, 1817], Coverage : 0.8837209302325582
[3893, 1818], Coverage : 0.8837209302325582
[4332, 3393], Coverage : 0.9069767441860465
[4332, 1817], Coverage : 0.8837209302325582
[4332, 1818], Coverage : 0.8837209302325582
[4786, 3393], Coverage : 0.9069767441860465
[4786, 1817], Coverage : 0.8837209302325582
[4786, 1818], Coverage : 0.8837209302325582
[5469, 3393], Coverage : 0.9069767441860465
[5469, 1817], Coverage : 0.8837209302325582
[5469, 1818], Coverage : 0.8837209302325582
[5509, 491], Coverage : 0.9069767441860465
[5509, 1694], Coverage : 0.9069767441860465
[5509, 2486], Coverage : 0.9069767441860465
[5509, 3268], Coverage : 0.9069767441860465
[5509, 4977], Coverage : 0.9069767441860465
[5509, 7729], Coverage : 0.9069767441860465
[5509, 3015], Coverage : 0.8837209302325582
[5509, 5914], Coverage : 0.8837209302325582
[5510, 491], Coverage : 0.9069767441860465
[5510, 1694], Coverage : 0.9069767441860465
[5510, 2486], Coverage : 0.9069767441860465
[5510, 3268], Coverage : 0.9069767441860465
[5510, 4977], Coverage : 0.9069767441860465
[5510, 7729], Coverage : 0.9069767441860465
[5510, 3015], Coverage : 0.8837209302325582
[5510, 5914], Coverage : 0.8837209302325582
[5629, 3393], Coverage : 0.9069767441860465
[5629, 1817], Coverage : 0.8837209302325582
[5629, 1818], Coverage : 0.8837209302325582
[5766, 3393], Coverage : 0.9069767441860465
[5766, 1817], Coverage : 0.8837209302325582
[5766, 1818], Coverage : 0.8837209302325582
[6143, 491], Coverage : 0.9069767441860465
[6143, 1694], Coverage : 0.9069767441860465
[6143, 2486], Coverage : 0.9069767441860465
[6143, 3268], Coverage : 0.9069767441860465
[6143, 4977], Coverage : 0.9069767441860465
[6143, 7729], Coverage : 0.9069767441860465
[6143, 3015], Coverage : 0.8837209302325582
[6143, 5914], Coverage : 0.8837209302325582
[6264, 3393], Coverage : 0.9069767441860465
[6264, 1817], Coverage : 0.8837209302325582
[6264, 1818], Coverage : 0.8837209302325582
[6730, 1191], Coverage : 0.8837209302325582
[6730, 3442], Coverage : 0.8837209302325582
[6730, 3660], Coverage : 0.9069767441860465
[6730, 1639], Coverage : 0.8837209302325582
[6730, 3748], Coverage : 0.8837209302325582
[6889, 491], Coverage : 0.9069767441860465
[6889, 1694], Coverage : 0.9069767441860465
[6889, 2486], Coverage : 0.9069767441860465
[6889, 3268], Coverage : 0.9069767441860465
[6889, 4977], Coverage : 0.9069767441860465
[6889, 7729], Coverage : 0.9069767441860465
[6889, 3015], Coverage : 0.8837209302325582
[6889, 5914], Coverage : 0.8837209302325582
[6895, 3393], Coverage : 0.9069767441860465
[6895, 1817], Coverage : 0.8837209302325582
[6895, 1818], Coverage : 0.8837209302325582
[7030, 3393], Coverage : 0.9069767441860465
[7030, 1817], Coverage : 0.8837209302325582
[7030, 1818], Coverage : 0.8837209302325582
[7205, 3393], Coverage : 0.9069767441860465
[7205, 1817], Coverage : 0.8837209302325582
[7205, 1818], Coverage : 0.8837209302325582
[7375, 3393], Coverage : 0.9069767441860465
[7375, 1817], Coverage : 0.8837209302325582
[7375, 1818], Coverage : 0.8837209302325582
[7571, 3393], Coverage : 0.9069767441860465
[7571, 1817], Coverage : 0.8837209302325582
[7571, 1818], Coverage : 0.8837209302325582
[7585, 3393], Coverage : 0.9069767441860465
[7585, 1817], Coverage : 0.8837209302325582
[7585, 1818], Coverage : 0.8837209302325582
[8056, 3393], Coverage : 0.9069767441860465
[8056, 1817], Coverage : 0.8837209302325582
[8056, 1818], Coverage : 0.8837209302325582
[8098, 3393], Coverage : 0.9069767441860465
[8098, 1817], Coverage : 0.8837209302325582
[8098, 1818], Coverage : 0.8837209302325582
[8222, 3393], Coverage : 0.9069767441860465
[8222, 1817], Coverage : 0.8837209302325582
[8222, 1818], Coverage : 0.8837209302325582
[8275, 3393], Coverage : 0.9069767441860465
[8275, 1817], Coverage : 0.8837209302325582
[8275, 1818], Coverage : 0.8837209302325582
[8292, 3393], Coverage : 0.9069767441860465
[8292, 1817], Coverage : 0.8837209302325582
[8292, 1818], Coverage : 0.8837209302325582
[8348, 3393], Coverage : 0.9069767441860465
[8348, 1817], Coverage : 0.8837209302325582
[8348, 1818], Coverage : 0.8837209302325582
[8509, 3393], Coverage : 0.9069767441860465
[8509, 1817], Coverage : 0.8837209302325582
[8509, 1818], Coverage : 0.8837209302325582
[8651, 491], Coverage : 0.9069767441860465
[8651, 1694], Coverage : 0.9069767441860465
[8651, 2486], Coverage : 0.9069767441860465
[8651, 3268], Coverage : 0.9069767441860465
[8651, 4977], Coverage : 0.9069767441860465
[8651, 7729], Coverage : 0.9069767441860465
[8651, 3015], Coverage : 0.8837209302325582
[8651, 5914], Coverage : 0.8837209302325582
[8671, 491], Coverage : 0.9069767441860465
[8671, 1694], Coverage : 0.9069767441860465
[8671, 2486], Coverage : 0.9069767441860465
[8671, 3268], Coverage : 0.9069767441860465
[8671, 4977], Coverage : 0.9069767441860465
[8671, 7729], Coverage : 0.9069767441860465
[8671, 3015], Coverage : 0.8837209302325582
[8671, 5914], Coverage : 0.8837209302325582
[8726, 3393], Coverage : 0.9069767441860465
[8726, 1817], Coverage : 0.8837209302325582
[8726, 1818], Coverage : 0.8837209302325582
[8832, 3393], Coverage : 0.9069767441860465
[8832, 1817], Coverage : 0.8837209302325582
[8832, 1818], Coverage : 0.8837209302325582
[8877, 3393], Coverage : 0.9069767441860465
[8877, 1817], Coverage : 0.8837209302325582
[8877, 1818], Coverage : 0.8837209302325582
[8917, 3393], Coverage : 0.9069767441860465
[8917, 1817], Coverage : 0.8837209302325582
[8917, 1818], Coverage : 0.8837209302325582
[8923, 3393], Coverage : 0.9069767441860465
[8923, 1817], Coverage : 0.8837209302325582
[8923, 1818], Coverage : 0.8837209302325582
[8924, 3393], Coverage : 0.9069767441860465
[8924, 1817], Coverage : 0.8837209302325582
[8924, 1818], Coverage : 0.8837209302325582
[9150, 3393], Coverage : 0.9069767441860465
[9150, 1817], Coverage : 0.8837209302325582
[9150, 1818], Coverage : 0.8837209302325582
[9338, 3393], Coverage : 0.9069767441860465
[9338, 1817], Coverage : 0.8837209302325582
[9338, 1818], Coverage : 0.8837209302325582
[9339, 3393], Coverage : 0.9069767441860465
[9339, 1817], Coverage : 0.8837209302325582
[9339, 1818], Coverage : 0.8837209302325582
[9349, 3393], Coverage : 0.9069767441860465
[9349, 1817], Coverage : 0.8837209302325582
[9349, 1818], Coverage : 0.8837209302325582
[60, 2090], Coverage : 0.9069767441860465
[60, 3262], Coverage : 0.9069767441860465
[60, 3404], Coverage : 0.9069767441860465
[60, 3408], Coverage : 0.9069767441860465
[60, 3529], Coverage : 0.9069767441860465
[60, 4002], Coverage : 0.9069767441860465
[60, 4577], Coverage : 0.9069767441860465
[60, 4949], Coverage : 0.9069767441860465
[60, 6688], Coverage : 0.9069767441860465
[60, 9544], Coverage : 0.9069767441860465
[60, 3660], Coverage : 0.8604651162790697
[68, 2090], Coverage : 0.9069767441860465
[68, 3262], Coverage : 0.9069767441860465
[68, 3404], Coverage : 0.9069767441860465
[68, 3408], Coverage : 0.9069767441860465
[68, 3529], Coverage : 0.9069767441860465
[68, 4002], Coverage : 0.9069767441860465
[68, 4577], Coverage : 0.9069767441860465
[68, 4949], Coverage : 0.9069767441860465
[68, 6688], Coverage : 0.9069767441860465
[68, 9544], Coverage : 0.9069767441860465
[68, 3660], Coverage : 0.8604651162790697
[222, 3660], Coverage : 0.8604651162790697
[278, 2090], Coverage : 0.9069767441860465
[278, 3262], Coverage : 0.9069767441860465
[278, 3404], Coverage : 0.9069767441860465
[278, 3408], Coverage : 0.9069767441860465
[278, 3529], Coverage : 0.9069767441860465
[278, 4002], Coverage : 0.9069767441860465
[278, 4577], Coverage : 0.9069767441860465
[278, 4949], Coverage : 0.9069767441860465
[278, 6688], Coverage : 0.9069767441860465
[278, 9544], Coverage : 0.9069767441860465
[278, 3660], Coverage : 0.8604651162790697
[511, 2090], Coverage : 0.9069767441860465
[511, 3262], Coverage : 0.9069767441860465
[511, 3404], Coverage : 0.9069767441860465
[511, 3408], Coverage : 0.9069767441860465
[511, 3529], Coverage : 0.9069767441860465
[511, 4002], Coverage : 0.9069767441860465
[511, 4577], Coverage : 0.9069767441860465
[511, 4949], Coverage : 0.9069767441860465
[511, 6688], Coverage : 0.9069767441860465
[511, 9544], Coverage : 0.9069767441860465
[511, 1191], Coverage : 0.8604651162790697
[511, 3442], Coverage : 0.8604651162790697
[511, 3660], Coverage : 0.8837209302325582
[511, 1639], Coverage : 0.8604651162790697
